Date,Year,Month,Day,DayOfWeek,BitcoinPrice,GoldPrice,△BitcoinPrice/△Date,△GoldPrice/△Date
2016-10-10,2016,10,10,Monday,617.54,1259.5,-5.445714285714287,-2.3249999999999966
2016-11-11,2016,11,11,Friday,715.45,1236.45,100.68000000000006,-31.049999999999955
2016-12-09,2016,12,9,Friday,609.67,1163.6,-3.777857142857146,-2.601785714285719
2016-12-12,2016,12,12,Monday,777.0,1156.1,55.77666666666668,-2.5
2017-01-06,2017,1,6,Friday,2399.242671,1175.85,982.069858,-0.8500000000001364
2017-01-09,2017,1,9,Monday,4911.740017,1178.5,837.4991153333334,0.8833333333333636
2017-02-03,2017,2,3,Friday,1259.410817,1215.2,275.990817,-6.75
2017-02-06,2017,2,6,Monday,2409.93,1226.75,383.5063943333333,3.849999999999985
2017-02-10,2017,2,10,Friday,4386.88375,1228.3,-193.5037300000004,-8.5
2017-03-03,2017,3,3,Friday,1285.14,1226.5,272.11300000000006,-11.599999999999907
2017-03-06,2017,3,6,Monday,2525.765158,1230.95,413.5417193333333,1.4833333333333485
2017-03-10,2017,3,10,Friday,4394.07,1202.65,-191.5,-3.899999999999864
2017-04-03,2017,4,3,Monday,1287.0,1247.25,-129.46124999999998,1.8583333333333296
2017-04-07,2017,4,7,Friday,2599.729838,1266.45,83.55669500000022,13.950000000000044
2017-04-10,2017,4,10,Monday,4225.175,1250.05,541.815054,-5.466666666666697
2017-05-05,2017,5,5,Friday,1533.335071,1228.05,400.2557569999999,-0.4000000000000909
2017-05-08,2017,5,8,Monday,3218.115017,1229.8,561.5933153333334,0.5833333333333334
2017-05-12,2017,5,12,Friday,11591.22,1231.25,4225.23,8.099999999999909
2017-06-02,2017,6,2,Friday,1024.01375,1274.95,24.363750000000092,10.100000000000136
2017-06-05,2017,6,5,Monday,1518.75,1279.95,164.9120833333333,1.6666666666666667
2017-06-09,2017,6,9,Friday,4385.02,1266.55,1132.4574670000006,-6.5499999999999545
2017-06-12,2017,6,12,Monday,13540.98,1266.4,3051.986666666666,-0.0499999999999545
2017-07-03,2017,7,3,Monday,1279.5,1229.25,-583.88,-1.7690476190476234
2017-07-07,2017,7,7,Friday,2491.201214,1215.65,-173.71964899999966,-9.25
2017-07-10,2017,7,10,Monday,4376.191667,1211.9,628.330151,-1.25
2017-08-04,2017,8,4,Friday,1181.149838,1257.7,23.75653800000009,-10.399999999999864
2017-08-07,2017,8,7,Monday,2502.86,1258.0,440.570054,0.0999999999999848
2017-08-11,2017,8,11,Friday,7128.64,1286.1,2526.359117,1.699999999999818
2017-09-01,2017,9,1,Friday,910.49,1320.4,-296.102380952381,1.633333333333342
2017-09-04,2017,9,4,Monday,1184.03,1333.1,91.18,4.233333333333273
2017-09-08,2017,9,8,Friday,3357.326317,1346.25,821.087379,2.75
2017-09-11,2017,9,11,Monday,7158.03706,1334.2,1266.9035809999998,-4.016666666666652
2017-10-02,2017,10,2,Monday,999.1035,1273.7,-707.1865325000001,-2.639999999999998
2017-10-06,2017,10,6,Friday,2845.372857,1261.8,1082.4866069999998,-12.700000000000044
2017-10-09,2017,10,9,Monday,4329.955,1278.75,494.86071433333336,5.650000000000016
2017-11-03,2017,11,3,Friday,1179.159875,1267.2,181.569875,-12.0
2017-11-06,2017,11,6,Monday,2898.63,1270.9,573.1567083333333,1.2333333333333485
2017-11-10,2017,11,10,Friday,4819.485767,1284.3,571.3957499999997,-0.5
2017-12-01,2017,12,1,Friday,780.92,1275.5,-192.31265557142856,-0.4190476190476169
2017-12-04,2017,12,4,Monday,1219.09,1273.45,146.05666666666664,-0.6833333333333181
2017-12-08,2017,12,8,Friday,3852.802914,1250.65,1467.0543429999998,-4.349999999999909
2017-12-11,2017,12,11,Monday,5716.301583,1247.15,621.1662230000002,-1.1666666666666667
2018-01-05,2018,1,5,Friday,9239.55,1317.15,2301.989999999999,2.650000000000091
2018-01-08,2018,1,8,Monday,7570.869167,1319.95,-556.2269443333331,0.933333333333318
2018-01-12,2018,1,12,Friday,4116.7775,1326.8,-2225.503333,3.75
2018-02-02,2018,2,2,Friday,8901.901667,1331.15,-6103.955002999999,-10.199999999999818
2018-02-05,2018,2,5,Monday,9221.426,1333.6,106.5081109999998,0.816666666666606
2018-02-09,2018,2,9,Friday,7247.935385,1314.1,-359.76461500000005,-1.3500000000001364
